,VAE (reconstr err),VAE (latent prob),VAE (latent prior prob),VAE (reconstr err grad),NN (entropy),NN (max prob),PPCA (log prob),AE (reconstr err),LOF (outlier score),AnchoredNNEnsemble (entropy),AnchoredNNEnsemble (std),AnchoredNNEnsemble (mutual information),NNEnsemble (entropy),NNEnsemble (std),NNEnsemble (mutual information),LogReg (entropy),LogReg (max prob),MCDropout (entropy),MCDropout (std),MCDropout (mutual information)
14919,783.05853,-19.026062,24.579622,544.6901,0.72665656,0.20237696,1361.1914620978678,0.7124281,1.0044784194676037,0.8365667,0.2765834,0.30060363,0.67190874,0.050839417,0.013330698,0.6385767568867101,0.16179089678911485,0.6056601,2.9802322e-08,0.0
11537,-385.5615,-21.288673,25.380562,3202.7388,0.010490468,0.0009085536,1006.51948693323,0.48044905,1.0570480015804669,0.0041936208,0.0008054685,0.00078516896,0.011007386,0.00046920712,0.00015615951,0.020400132418429646,0.001953905940502154,0.009750682,2.3283064e-10,-4.3120235e-07
10206,565.3165,-11.718008,22.487423,633.35693,0.70425737,0.19133574,1171.2967431682423,0.47699648,1.2291299904855302,0.7225549,0.26883072,0.3231497,0.51222944,0.030493421,0.006920874,0.14419369861883402,0.020491925753338025,0.50006425,2.9802322e-08,-1.1920929e-07
4743,714.56586,-15.955505,23.956463,463.73666,0.316479,0.057262063,1284.3224430295354,0.6313596,1.1315529049956718,0.1885538,0.08008187,0.087173745,0.26305753,0.008647799,0.0012378395,0.013091810695601608,0.0011710189585226738,0.20302993,1.8626451e-08,1.937151e-07
4554,468.61542,-16.035963,22.666298,500.2247,0.37327698,0.071982026,1124.3113796118334,0.45357245,1.0525579868669968,0.45256013,0.13459279,0.13690057,0.38078877,0.013795581,0.0020365417,0.5974722170594768,0.14511222200742635,0.3079276,1.4901161e-08,-5.066395e-07
6158,1262.9009,-10.5748825,23.846798,102.95851,0.17056166,0.025360346,1805.5103279409159,1.2208076,1.2871612129432901,0.0323077,0.009981957,0.011045303,0.10886965,0.005893675,0.0015828386,0.05768388437156953,0.006653641835183133,0.11280188,2.7939677e-09,-3.5762787e-07
7502,312.20328,-18.789633,24.47388,2358.3137,0.1319568,0.01832974,1206.4732550879507,0.48438397,1.260136983514744,0.01826759,0.0029749721,0.0030875476,0.16705337,0.007772052,0.0017141849,0.35221055519718786,0.06636522482970375,0.18483058,9.313226e-09,-9.3877316e-07
5069,883.3805,-14.83298,24.314232,406.9918,0.27703232,0.04781282,1465.2602586040807,0.7631472,1.2007864152927916,0.034963038,0.0061519765,0.005914511,0.30550608,0.009886687,0.0013096333,0.9656981314754198,0.3914017007410875,0.23179343,7.450581e-09,-5.811453e-07
8457,716.3248,-17.071074,24.486233,315.03436,0.0584902,0.006765485,1368.7956325555583,0.7882618,1.0018874525374797,0.0021357841,0.0004287119,0.0004499976,0.04938925,0.001406725,0.00025364757,0.000771531880790586,4.895420492001534e-05,0.055346802,2.7939677e-09,6.7427754e-07
10889,-148.56007,-17.638834,24.826485,2255.6494,0.24470392,0.040527165,1117.5010736923682,0.4959658,1.1789772268897696,0.061892588,0.009062646,0.008248035,0.25121284,0.018006131,0.0052419454,0.31571608295965264,0.05707338900480252,0.27356273,1.1175871e-08,1.7881393e-07
10676,446.49655,-14.198493,24.58416,1757.9945,0.01718432,0.0016018748,1409.75934737108,0.6819231,1.1299852345808368,0.0136085,0.0020425585,0.0021429313,0.034194056,0.0005958876,6.7386776e-05,0.008089724559541349,0.0006756272997296975,0.040562734,1.8626451e-09,-7.972121e-07
9719,635.4918,-17.642807,25.600538,165.58206,0.3840083,0.07491636,1806.8956292212888,1.2880967,1.0031194389190077,0.13478263,0.040180847,0.042545415,0.34377068,0.03604745,0.013446301,0.3302573047040517,0.06071010208364758,0.2555404,1.4901161e-08,-8.34465e-07
11841,376.54327,-11.692224,24.148531,337.02325,0.08034663,0.009932697,1221.649093293951,0.51613015,1.1832304238755786,0.1796488,0.05724646,0.06393527,0.07015358,0.002541217,0.0005842373,0.1239696967929117,0.016952542521498692,0.07076918,5.5879354e-09,8.6426735e-07
3106,-416.72723,-19.550491,25.884947,1331.0768,0.16458417,0.02423203,936.5640620567169,0.42548203,1.0713164204543097,0.3073928,0.13063908,0.14111084,0.15692343,0.008711054,0.0024823248,0.3298983041171663,0.06061927820407509,0.078625694,4.656613e-09,-1.8626451e-07
5146,465.5847,-17.81101,22.91333,1587.6335,0.28064054,0.048651457,1154.6160488128194,0.41968447,1.00454176831165,0.22551695,0.07022084,0.07585396,0.32444516,0.013451129,0.0023914874,0.30524549765951126,0.054507785884981175,0.36044836,2.2351742e-08,-5.9604645e-07
