,MCDropout (entropy),MCDropout (std),MCDropout (mutual information),NN (entropy),NN (max prob),VAE (reconstr err),VAE (latent prob),VAE (latent prior prob),VAE (reconstr err grad),LOF (outlier score),LogReg (entropy),LogReg (max prob),AnchoredNNEnsemble (entropy),AnchoredNNEnsemble (std),AnchoredNNEnsemble (mutual information),PPCA (log prob),NNEnsemble (entropy),NNEnsemble (std),NNEnsemble (mutual information),AE (reconstr err),Number of models
14278,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,5
10503,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,True,False,5
12692,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,5
16989,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,5
3135,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,5
10265,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,5
2904,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,True,False,5
1132,False,True,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,5
15134,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,5
1116,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,5
12167,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,False,False,False,False,5
4988,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,5
2972,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,5
10213,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,5
1476,False,False,False,False,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,False,5
11897,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,5
17097,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,5
6426,False,False,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,5
8848,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,5
195,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,5
25,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,5
16795,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,5
12718,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,5
5565,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,5
16302,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,5
9783,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,True,False,5
2606,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,True,False,5
14653,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,False,False,False,5
12413,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,False,False,False,False,False,5
4138,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,5
8367,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,5
7304,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,5
16330,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,5
12700,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,5
17973,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,5
15657,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,5
13749,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,5
16489,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,5
